CookerStat, GenerateAssetRegistry=0.038166, Initialize=0.193700, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId310839C342E7F4ECE0DF30BB2769FEFC_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_693DA69C4F773D927FA37AB0D68E2B90_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-22.58.07, Duration=96.948280, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_693DA69C4F773D927FA37AB0D68E2__ACAB126929D438E9B256384658CEC3A30397C940, StartTime=2016.06.12-22.58.07, HierarchicalDDC=, DataSize=262407, Duration=8.468929, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_5, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__EBB884F606968A68DA5D37D63EFA86A3DED040FC, StartTime=2016.06.12-22.58.22, HierarchicalDDC=, DataSize=524663, Duration=7.116165, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_6, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__EC8C8D52C5C82DF1BF5F8FF928863E4AD8B6070C, StartTime=2016.06.12-22.58.23, HierarchicalDDC=, DataSize=6674, Duration=5.532593, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_7, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__623D89023341F41F44E65A2D03722B62AE6A4CEF, StartTime=2016.06.12-22.58.23, HierarchicalDDC=, DataSize=7124, Duration=5.446326, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_8, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__D80D42D2AD484B72A0222835E10D683141D5200B, StartTime=2016.06.12-22.58.23, HierarchicalDDC=, DataSize=7124, Duration=6.234977, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_5, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__BA936514998DEA793893341AFDEF6D6BCF979F78, StartTime=2016.06.12-22.58.23, HierarchicalDDC=, DataSize=7124, Duration=5.848102, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_9, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__4863409B429FE3C5643DA21416CBB8F2FF2191B0, StartTime=2016.06.12-22.59.05, HierarchicalDDC=, DataSize=524662, Duration=6.813463, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_6, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__510C52915984FBF67E6D98E5163CDD94599DCDDF, StartTime=2016.06.12-22.59.25, HierarchicalDDC=, DataSize=301430, Duration=6.093822, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_10, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__852A5F11125DA413B6EF7E3B51612368AF2FC853, StartTime=2016.06.12-22.59.50, HierarchicalDDC=, DataSize=500086, Duration=6.379273, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_11, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__71EB6ACA65BECB4F45641E84A5B9A8275C17134A, StartTime=2016.06.12-22.59.56, HierarchicalDDC=, DataSize=205174, Duration=14.923483, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_12, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__555DCBF110E973150180043985C5957ED9569844, StartTime=2016.06.12-23.00.11, HierarchicalDDC=, DataSize=185206, Duration=6.216157, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_7, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__DE76322C1C8904A7CAC89AA7FD4E9E0253C88760, StartTime=2016.06.12-23.00.17, HierarchicalDDC=, DataSize=161654, Duration=6.302420, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_13, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__EA9ABBD76D3B75C3F03A67D077B142686EDA7622, StartTime=2016.06.12-23.00.38, HierarchicalDDC=, DataSize=524662, Duration=7.155642, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_14, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__94586A73F34589FC054259A05E15132781F7B973, StartTime=2016.06.12-23.00.40, HierarchicalDDC=, DataSize=59958, Duration=5.614411, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_15, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__567A7475C34A54BACEBB4DFCFC5B03ABF532DFD7, StartTime=2016.06.12-23.00.40, HierarchicalDDC=, DataSize=23479, Duration=5.614672, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_16, PutCachedData=, CacheKey=DIST_STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47__7578749C554350BE6BA4EBA418ADA749E3BAC35B, StartTime=2016.06.12-23.00.49, HierarchicalDDC=, DataSize=221558, Duration=5.742237, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E2D5618747839E49DA31CC8EED7C3DE0__1_0_13123_0, StartTime=2016.06.12-23.02.29, HierarchicalDDC=, DataSize=458, Duration=5.320333, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30E4B9FB45F7BA88FE4A84A16CA35228__1_0_13123_0, StartTime=2016.06.12-23.02.29, HierarchicalDDC=, DataSize=458, Duration=2.283089, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId20E6FD104C830A44AF44F299B605A3B1_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0E4A1A7D4FF62B13DC8F5286A2B49CCB_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.02.55, Duration=150.381363, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId0BE4B76141AC57E4F93118BF6F0B0002_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8C68496946FFC799C881D99C066F2F8D_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.02.55, Duration=0.503462, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8C68496946FFC799C881D99C066F2__E0BBFAED370231AD3F88ADC0320F8045EAB620A0, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=6014, Duration=20.787012, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdFE5828F14698A0A18968ACA360E803E7_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_BA9BBDF84E7C87F083B2D28A7503AFD2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.02.55, Duration=0.392627, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_BA9BBDF84E7C87F083B2D28A7503AFD2__2D28E11ABDD281BF0B2EF9AFBB476B2B1B0D2043, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=3267, Duration=12.297693, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId57C843574E0356FFDFE76CA71F1E94C8_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_E6F1535D44EA8EAB75B6BC976E123614_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.02.55, Duration=133.500748, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0E4A1A7D4FF62B13DC8F5286A2B49__7261FA0FBB39F38D8075ACF5E8AFBBD8184ACAFD, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=262407, Duration=10.105829, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0E4A1A7D4FF62B13DC8F5286A2B49__67D22F3955C4EFE54B264ED19E8C0BCDBE743ABB, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=65799, Duration=17.099142, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0E4A1A7D4FF62B13DC8F5286A2B49__7AAAF120ADA5D87B2613DAFE2AC33D87D606C68A, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=16647, Duration=18.420008, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_20, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0E4A1A7D4FF62B13DC8F5286A2B49__5E70E703ED1D5997901ADAEFC764E4F8D36A73D7, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=6899, Duration=5.794514, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_21, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_E6F1535D44EA8EAB75B6BC976E123614__C377D25AC6EB1A4A784B4271063B6EE9CCA8507D, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=131332, Duration=17.408379, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_E6F1535D44EA8EAB75B6BC976E123614__4E81194474586563D54D7EBC834094E2719FF809, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=33028, Duration=19.535675, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_22, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_E6F1535D44EA8EAB75B6BC976E123614__967F0926EC64E4ACA3D1A90A26E6188ACE40C642, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=8452, Duration=68.734810, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_E6F1535D44EA8EAB75B6BC976E123614__ECE4BCC0F80ACC131ACBBD95EB98FAA8B3A7A18E, StartTime=2016.06.12-23.02.55, HierarchicalDDC=, DataSize=4143, Duration=28.945650, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_132702924C09B8DB573540A4ABEAE510__1_0_13123_0, StartTime=2016.06.12-23.04.09, HierarchicalDDC=, DataSize=458, Duration=2.695326, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1BB8651B48EC8D9F87EB53A13F899386__1_0_13123_0, StartTime=2016.06.12-23.04.09, HierarchicalDDC=, DataSize=458, Duration=2.434705, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId57C843574E0356FFDFE76CA71F1E94C8_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_2FB180DA4FE064FA64A04FA5B630522A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.04.32, Duration=0.359952, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_2FB180DA4FE064FA64A04FA5B630522A__FA0F7345DB4BF8A43D0C01B0E5B75F6215BC014E, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=3267, Duration=5.148590, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdFE5828F14698A0A18968ACA360E803E7_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D3A20223416F1C8D13D31B99D8E216FC_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.04.32, Duration=0.474967, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_24, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D3A20223416F1C8D13D31B99D8E21__E1C2EA9664137640CBDA89385287DAA7E5AB5350, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=6014, Duration=4.835952, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId20E6FD104C830A44AF44F299B605A3B1_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_53B2577545C094D2A7D5309EC4FC398A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.04.32, Duration=86.406166, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId0BE4B76141AC57E4F93118BF6F0B0002_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8B449473434EB13DD891CB83F8840892_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.04.32, Duration=131.584152, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_53B2577545C094D2A7D5309EC4FC398A__4E078051962A272ED9A7CA4897910FD0486D4D26, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=131332, Duration=35.544502, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_25, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_53B2577545C094D2A7D5309EC4FC398A__77AF9A3B10EAB116CF01BC8AE5CC619DB404247A, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=33028, Duration=44.402138, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_53B2577545C094D2A7D5309EC4FC398A__3B09E944F4B20E9FE76869C48F25E0B43A70CCDD, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=8452, Duration=34.209518, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_26, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_53B2577545C094D2A7D5309EC4FC398A__63CC452B95AEE0617D618603F0153BA161E3B059, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=4143, Duration=4.433390, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_27, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8B449473434EB13DD891CB83F8840__CB779FD3DD3F0C1D58304DCAD8E1F77E18121B84, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=262407, Duration=7.126101, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_28, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8B449473434EB13DD891CB83F8840__100F36CC08340AD24712235FD2472EFD09E06FEC, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=65799, Duration=61.769218, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId3128E0C64C52CB714A3274880ECD8905_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8B449473434EB13DD891CB83F8840__68140B64AE70F1C857BB9B6DB33930D6BEC7493E, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=16647, Duration=64.176735, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_29, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8B449473434EB13DD891CB83F8840__8BECA66DACAC8515FE0556D9EEF1CD7BEC068748, StartTime=2016.06.12-23.04.32, HierarchicalDDC=, DataSize=6899, Duration=7.931221, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
SavePackageTransactionIdD46E24F54F0683FEFFA359ACDA19D258_0, Filename=../../../../../../Users/Julian/Documents/Unreal Projects/Signals/Content/Levels/Battle01.umap, AutoPackageBackupDelegate=451.974548, FlushAsyncLoading=0.014376, FlushStreamingFunc=0.062212, BlockTillAllRequestsFinished=0.006013, ResetLoadersForSaveUnMarkAllObjects=326.171844, TagPackageExports=1.895431, BeginCacheForCookedPlatformData=0.001833, SerializeImports=5.334184, GatherLocalizableTextData=18.487970, MarkNames=0.102993, SerializeSummary=0.298522, SerializeNames=0.578746, SerializeGatherableTextData=0.032939, BuildExportMap=0.529338, SortExportsNonSeekfree=0.654552, SortExportsSeekfreeConstructor=0.455890, SortExportsSeekfreeInner=33.552090, SortExportsSeekfree=0.007581, BuildDependencyMap=0.414062, SerializeImportMap=0.073195, SerializeExportMap=0.050973, SerializeDependencyMap=0.016209, SerializeStringAssetReferenceMap=0.003397, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.253426, SerializeExports=6.975271, SerializeBulkData=67.517982, MoveFile=16.411911, UnaccountedTime=51.991970, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionId310839C342E7F4ECE0DF30BB2769FEFC_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A9ACDFAC40A88B949F92AEBB3DEC78FE_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.12-23.04.41, Duration=85.838402, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
DDCTransactionIdAC80C5B848E8D6437F03E2AAA45A7697_30, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A9ACDFAC40A88B949F92AEBB3DEC7__B4888B1BA727015363F0F8B384EAE7FB0321E60F, StartTime=2016.06.12-23.04.41, HierarchicalDDC=, DataSize=262407, Duration=6.623164, RunGuid=RunID63119A6C472B425644BA2982ACAF7698
