CookerStat, GenerateAssetRegistry=0.083651, Initialize=0.415105, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_30CDDCEC439925BA396DF0A795E688FF_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.32, Duration=49.244835, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_30CDDCEC439925BA396DF0A795E68__7476E59C0CA77DE4CA94C757900963792F76E3C9, StartTime=2016.05.30-21.44.32, HierarchicalDDC=, DataSize=65799, Duration=4.533242, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.33, Duration=646.491028, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___A697CFAE0409D6CF04E82C2206941782443D8D47, StartTime=2016.05.30-21.44.34, HierarchicalDDC=, DataSize=4194565, Duration=37.139286, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___F627F0DF29AD7E7EB523180964776B03AD3C983A, StartTime=2016.05.30-21.44.34, HierarchicalDDC=, DataSize=1048837, Duration=11.515565, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___C31F051D21C90A74358572AD18162314CB497A6C, StartTime=2016.05.30-21.44.34, HierarchicalDDC=, DataSize=262403, Duration=7.551916, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___B5F1974D20D44E760919507B1E379D6CA24FED24, StartTime=2016.05.30-21.44.34, HierarchicalDDC=, DataSize=65795, Duration=9.421468, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___F661EBDEBF9F582DE578F9A8E9FA7DBB32106EF5, StartTime=2016.05.30-21.44.34, HierarchicalDDC=, DataSize=16643, Duration=6.656353, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___5B5864B36FA96F6A0BC111C00D8F655A6FF197A6, StartTime=2016.05.30-21.44.34, HierarchicalDDC=, DataSize=7468, Duration=5.576238, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41FFCE_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.35, Duration=4818.451172, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__2C852E7868F513FA141150B3FB06AA648276993E, StartTime=2016.05.30-21.44.40, HierarchicalDDC=, DataSize=2097417, Duration=14.504179, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__D800AD93E3AB18614C714E5B03245BECD824F064, StartTime=2016.05.30-21.44.40, HierarchicalDDC=, DataSize=524553, Duration=8.098774, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__4E0C83D22725D73FE7422B1DE106C9852E035BA7, StartTime=2016.05.30-21.44.40, HierarchicalDDC=, DataSize=131335, Duration=9.373110, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__BF35246E184B2F3BBCFFF4905DBA9688583A2EA1, StartTime=2016.05.30-21.44.40, HierarchicalDDC=, DataSize=33031, Duration=6.838813, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__A04A56D0FED9DFF8E036793530EB021E6FA1F176, StartTime=2016.05.30-21.44.40, HierarchicalDDC=, DataSize=8455, Duration=6.581329, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__F938C8C3315CB7D129896CFCC78AD11134C096D8, StartTime=2016.05.30-21.44.40, HierarchicalDDC=, DataSize=4749, Duration=12.310229, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5C1BD5844BCCCEFE984F13B5EF729164_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.40, Duration=4226.044922, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5C1BD5844BCCCEFE984F13B5EF729__E9496FB4C7816B81917D6AD43EA4AD4EC7B2CFC3, StartTime=2016.05.30-21.44.44, HierarchicalDDC=, DataSize=4194569, Duration=16.439602, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5C1BD5844BCCCEFE984F13B5EF729__0D7ACB94C435A458BE2E0E52C04D90C93F1F7C27, StartTime=2016.05.30-21.44.44, HierarchicalDDC=, DataSize=1048841, Duration=10.285403, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5C1BD5844BCCCEFE984F13B5EF729__0CC09018E943B1F3F15087E8D1C3EC971DB5BC11, StartTime=2016.05.30-21.44.44, HierarchicalDDC=, DataSize=262407, Duration=6.332476, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5C1BD5844BCCCEFE984F13B5EF729__E2D46DA187A53EACC7E434619BE6F8C288ACD9D4, StartTime=2016.05.30-21.44.44, HierarchicalDDC=, DataSize=65799, Duration=25.080786, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5C1BD5844BCCCEFE984F13B5EF729__1BD597909FE52B66F0ADDFCBA877390A59560FEC, StartTime=2016.05.30-21.44.44, HierarchicalDDC=, DataSize=16647, Duration=5.395084, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5C1BD5844BCCCEFE984F13B5EF729__21D1CEF1FF132088A3AB877492A1F18C84EBBDDD, StartTime=2016.05.30-21.44.44, HierarchicalDDC=, DataSize=7493, Duration=4.362024, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A5884BE4079D77AB17E928BEDFE2C54_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.44, Duration=3.700677, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdE7378A9D482026C0F2E2F29FD56BA6AC_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A5884BE4079D77AB17E928BEDFE2__E0DB4012A79CC01DA4F5DAD4B1CD99BECCB3BA79, StartTime=2016.05.30-21.44.44, HierarchicalDDC=, DataSize=65799, Duration=24.317753, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdB42EDD3244B99C76A9F188BCD11DF95A_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7A5884BE4079D77AB17E928BEDFE2__1CAD606A77FE9E4A89084EE9D3FA78B6BDC77C0F, StartTime=2016.05.30-21.44.44, HierarchicalDDC=, DataSize=16647, Duration=6.675176, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_42F4598846FBE9F1638AA7A5BBF52A59_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.44, Duration=0.528555, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_D76C01314DCEE29AF8956DA80892B5C9_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.44, Duration=3.147807, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_8D43E23C4771D0BB55CAFE9EECFF6818_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.44, Duration=0.339299, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
DDCTransactionIdF3714BFD4A0D2E4ED4524A84F00904F8_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_21A038054E1987F4036D6D9E7AB81A3C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-21.44.44, Duration=1.401115, RunGuid=RunID641666EA4F81BD3CE725FABC312C1321
